WAV,ABS1,ABS2,ABS3
380,2.834394749,Error,Error
381,2.834394749,Error,Error
382,2.834394749,Error,Error
383,2.833121081,Error,Error
384,2.832482844,Error,Error
385,2.833758382,Error,Error
386,2.833121081,Error,Error
387,2.834394749,Error,Error
388,2.834394749,Error,Error
389,2.834394749,Error,Error
390,2.835030185,Error,Error
391,2.834394749,Error,Error
392,2.833758382,Error,Error
393,2.833758382,Error,Error
394,2.833121081,Error,Error
395,2.832482844,Error,Error
396,2.834394749,Error,Error
397,2.834394749,Error,Error
398,2.834394749,Error,Error
399,2.835030185,Error,Error
400,2.835030185,Error,Error
401,2.833758382,Error,Error
402,2.833121081,Error,Error
403,2.833758382,Error,Error
404,2.832482844,Error,Error
405,2.832482844,Error,Error
406,2.832482844,Error,Error
407,2.834394749,Error,Error
408,2.835030185,Error,Error
409,2.835030185,Error,Error
410,2.833121081,Error,Error
411,2.833121081,Error,Error
412,2.833758382,Error,Error
413,2.833121081,Error,Error
414,2.832482844,Error,Error
415,2.833121081,Error,Error
416,2.833758382,Error,Error
417,2.833758382,Error,Error
418,2.834394749,Error,Error
419,2.833121081,Error,Error
420,2.833758382,Error,Error
421,2.833121081,Error,Error
422,2.832482844,Error,Error
423,2.833121081,Error,Error
424,2.833121081,Error,Error
425,2.833121081,Error,Error
426,2.833758382,Error,Error
427,2.835030185,Error,Error
428,2.835030185,Error,Error
429,2.833758382,Error,Error
430,2.834394749,Error,Error
431,2.833121081,Error,Error
432,2.832482844,Error,Error
433,2.833758382,Error,Error
434,2.833758382,Error,Error
435,2.833758382,Error,Error
436,2.835030185,Error,Error
437,2.834394749,Error,Error
438,2.833758382,Error,Error
439,2.833758382,Error,Error
440,2.833758382,Error,Error
441,2.833121081,Error,Error
442,2.833121081,Error,Error
443,2.833121081,Error,Error
444,2.833121081,Error,Error
445,2.833758382,Error,Error
446,2.833758382,Error,Error
447,2.832482844,Error,Error
448,2.833121081,Error,Error
449,2.832482844,Error,Error
450,2.831843667,Error,Error
451,2.833121081,Error,Error
452,2.834394749,Error,Error
453,2.833121081,Error,Error
454,2.833758382,Error,Error
455,2.833758382,Error,Error
456,2.833121081,Error,Error
457,2.831843667,Error,Error
458,2.832482844,Error,Error
459,2.831843667,Error,Error
460,2.830575577,Error,Error
461,2.831843667,Error,Error
462,2.834394749,Error,Error
463,2.833121081,Error,Error
464,2.833121081,Error,Error
465,2.832482844,Error,Error
466,2.831216621,Error,Error
467,2.831843667,Error,Error
468,2.831216621,Error,Error
469,2.831843667,Error,Error
470,2.833121081,Error,Error
471,2.833121081,Error,Error
472,2.832482844,Error,Error
473,2.832482844,Error,Error
474,2.831843667,Error,Error
475,2.831216621,Error,Error
476,2.832482844,Error,Error
477,2.833121081,Error,Error
478,2.832482844,Error,Error
479,2.833121081,Error,Error
480,2.833758382,Error,Error
481,2.833121081,Error,Error
482,2.833758382,Error,Error
483,2.833121081,Error,Error
484,2.832482844,Error,Error
485,2.833121081,Error,Error
486,2.834394749,Error,Error
487,2.833758382,Error,Error
488,2.833121081,Error,Error
489,2.833121081,Error,Error
490,2.833121081,Error,Error
491,2.831843667,Error,Error
492,2.831843667,Error,Error
493,2.831216621,Error,Error
494,2.832482844,Error,Error
495,2.833758382,Error,Error
496,2.832482844,Error,Error
497,2.832482844,Error,Error
498,2.831843667,Error,Error
499,2.831843667,Error,Error
500,2.831843667,Error,Error
501,2.833121081,Error,Error
502,2.833121081,Error,Error
503,2.832482844,Error,Error
504,2.833758382,Error,Error
505,2.833758382,Error,Error
506,2.831843667,Error,Error
507,2.833758382,Error,Error
508,2.834394749,Error,Error
509,2.833121081,Error,Error
510,2.833758382,Error,Error
511,2.833121081,Error,Error
512,2.831843667,Error,Error
513,2.831843667,Error,Error
514,2.831843667,Error,Error
515,2.831843667,Error,Error
516,2.831843667,Error,Error
517,2.834394749,Error,Error
518,2.832482844,Error,Error
519,2.832482844,Error,Error
520,2.831843667,Error,Error
521,2.831843667,Error,Error
522,2.833121081,Error,Error
523,2.833758382,Error,Error
524,2.833121081,Error,Error
525,2.833758382,Error,Error
526,2.833758382,Error,Error
527,2.831843667,Error,Error
528,2.832482844,Error,Error
529,2.833758382,Error,Error
530,2.834394749,Error,Error
531,2.833758382,Error,Error
532,2.834394749,Error,Error
533,2.833121081,Error,Error
534,2.831843667,Error,Error
535,2.832482844,Error,Error
536,2.831843667,Error,Error
537,2.535268013,Error,Error
538,2.53590719,Error,Error
539,2.537819095,Error,Error
540,2.53590719,Error,Error
541,2.53590719,Error,Error
542,2.534640967,Error,Error
543,2.535268013,Error,Error
544,2.537182728,Error,Error
545,2.537819095,Error,Error
546,2.536545427,Error,Error
547,2.537182728,Error,Error
548,2.536545427,Error,Error
549,2.535268013,Error,Error
550,2.537182728,Error,Error
551,2.537819095,Error,Error
552,2.536545427,Error,Error
553,2.537819095,Error,Error
554,2.537182728,Error,Error
555,2.535268013,Error,Error
556,2.535268013,Error,Error
557,2.535268013,Error,Error
558,2.535268013,Error,Error
559,2.53590719,Error,Error
560,2.537182728,Error,Error
561,2.537182728,Error,Error
562,2.53590719,Error,Error
563,2.53590719,Error,Error
564,2.53590719,Error,Error
565,2.535268013,Error,Error
566,2.536545427,Error,Error
567,2.53590719,Error,Error
568,2.537819095,Error,Error
569,2.537819095,Error,Error
570,2.536545427,Error,Error
571,2.536545427,Error,Error
572,2.536545427,Error,Error
573,2.53590719,Error,Error
574,2.53590719,Error,Error
575,2.537819095,Error,Error
576,2.537819095,Error,Error
577,2.537182728,Error,Error
578,2.537182728,Error,Error
579,2.536545427,Error,Error
580,2.535268013,Error,Error
581,2.535268013,Error,Error
582,2.535268013,Error,Error
583,2.536545427,Error,Error
584,2.537819095,Error,Error
585,2.537819095,Error,Error
586,2.53590719,Error,Error
587,2.53590719,Error,Error
588,2.535268013,Error,Error
589,2.535268013,Error,Error
590,2.535268013,Error,Error
591,2.537182728,Error,Error
592,2.536545427,Error,Error
593,2.536545427,Error,Error
594,2.536545427,Error,Error
595,2.535268013,Error,Error
596,2.536545427,Error,Error
597,2.536545427,Error,Error
598,2.536545427,Error,Error
599,2.537819095,Error,Error
600,2.537819095,Error,Error
601,2.536545427,Error,Error
602,2.53590719,Error,Error
603,2.53590719,Error,Error
604,2.535268013,Error,Error
605,2.537182728,Error,Error
606,2.537819095,Error,Error
607,2.537819095,Error,Error
608,2.536545427,Error,Error
609,2.536545427,Error,Error
610,2.53590719,Error,Error
611,2.534640967,Error,Error
612,2.53590719,Error,Error
613,2.536545427,Error,Error
614,2.536545427,Error,Error
615,2.536545427,Error,Error
616,2.535268013,Error,Error
617,2.535268013,Error,Error
618,2.53590719,Error,Error
619,2.53590719,Error,Error
620,2.535268013,Error,Error
621,2.536545427,Error,Error
622,2.537819095,Error,Error
623,2.537182728,Error,Error
624,2.537819095,Error,Error
625,2.537182728,Error,Error
626,2.53590719,Error,Error
627,2.536545427,Error,Error
628,2.537182728,Error,Error
629,2.536545427,Error,Error
630,2.537182728,Error,Error
631,2.537819095,Error,Error
632,2.537182728,Error,Error
633,2.535268013,Error,Error
634,2.535268013,Error,Error
635,2.535268013,Error,Error
636,2.53590719,Error,Error
637,2.537182728,Error,Error
638,2.537182728,Error,Error
639,2.53590719,Error,Error
640,2.536545427,Error,Error
641,2.53590719,Error,Error
642,2.537182728,Error,Error
643,2.537182728,Error,Error
644,2.536545427,Error,Error
645,2.537182728,Error,Error
646,2.537182728,Error,Error
647,2.53590719,Error,Error
648,2.534640967,Error,Error
649,2.538454531,Error,Error
650,2.538454531,Error,Error
651,2.537182728,Error,Error
652,2.537819095,Error,Error
653,2.537182728,Error,Error
654,2.53590719,Error,Error
655,2.535268013,Error,Error
656,2.53590719,Error,Error
657,2.53590719,Error,Error
658,2.537182728,Error,Error
659,2.537819095,Error,Error
660,2.535268013,Error,Error
661,2.535268013,Error,Error
662,2.536545427,Error,Error
663,2.537819095,Error,Error
664,2.537182728,Error,Error
665,2.537819095,Error,Error
666,2.536545427,Error,Error
667,2.537182728,Error,Error
668,2.536545427,Error,Error
669,2.535268013,Error,Error
670,2.535268013,Error,Error
671,2.538454531,Error,Error
672,2.537819095,Error,Error
673,2.537819095,Error,Error
674,2.536545427,Error,Error
675,2.535268013,Error,Error
676,2.535268013,Error,Error
677,2.537182728,Error,Error
678,2.537819095,Error,Error
679,2.537182728,Error,Error
680,2.537182728,Error,Error
681,2.537819095,Error,Error
682,2.53590719,Error,Error
683,2.537182728,Error,Error
684,2.537819095,Error,Error
685,2.537182728,Error,Error
686,2.538454531,Error,Error
687,2.538454531,Error,Error
688,2.536545427,Error,Error
689,2.53590719,Error,Error
690,2.53590719,Error,Error
691,2.535268013,Error,Error
692,2.536545427,Error,Error
693,2.538454531,Error,Error
694,2.537182728,Error,Error
695,2.537819095,Error,Error
696,2.536545427,Error,Error
697,2.535268013,Error,Error
698,2.537182728,Error,Error
699,2.537819095,Error,Error
700,2.537182728,Error,Error
701,2.538454531,Error,Error
702,2.537819095,Error,Error
703,2.53590719,Error,Error
704,2.537819095,Error,Error
705,2.538454531,Error,Error
706,2.538454531,Error,Error
707,2.537182728,Error,Error
708,2.537182728,Error,Error
709,2.536545427,Error,Error
710,2.535268013,Error,Error
711,2.536545427,Error,Error
712,2.537182728,Error,Error
713,2.537182728,Error,Error
714,2.537819095,Error,Error
715,2.53590719,Error,Error
716,2.537182728,Error,Error
717,2.537819095,Error,Error
718,2.537819095,Error,Error
719,2.537819095,Error,Error
720,2.537819095,Error,Error
721,2.537182728,Error,Error
722,2.53590719,Error,Error
723,2.53590719,Error,Error
724,2.536545427,Error,Error
725,2.536545427,Error,Error
726,2.539076099,Error,Error
727,2.537819095,Error,Error
728,2.536545427,Error,Error
729,2.53590719,Error,Error
730,2.536545427,Error,Error
731,2.536545427,Error,Error
732,2.537819095,Error,Error
733,2.538454531,Error,Error
734,2.537819095,Error,Error
735,2.537182728,Error,Error
736,2.537182728,Error,Error
737,2.537819095,Error,Error
738,2.537182728,Error,Error
739,2.538454531,Error,Error
740,2.537819095,Error,Error
741,2.539076099,Error,Error
742,2.537819095,Error,Error
743,2.536545427,Error,Error
744,2.53590719,Error,Error
745,2.358326068,Error,Error
746,2.358326068,Error,Error
747,2.359601606,Error,Error
748,2.360237974,Error,Error
749,2.359601606,Error,Error
750,2.358326068,Error,Error
751,2.359601606,Error,Error
752,2.359601606,Error,Error
753,2.359601606,Error,Error
754,2.360237974,Error,Error
755,2.36087341,Error,Error
756,2.360237974,Error,Error
757,2.359601606,Error,Error
758,2.358964306,Error,Error
759,2.360237974,Error,Error
760,2.36087341,Error,Error
761,2.36087341,Error,Error
762,2.359601606,Error,Error
763,2.359601606,Error,Error
764,2.358964306,Error,Error
765,2.358326068,Error,Error
766,2.358964306,Error,Error
767,2.359601606,Error,Error
768,2.359601606,Error,Error
769,2.360237974,Error,Error
770,2.36087341,Error,Error
771,2.358326068,Error,Error
772,2.359601606,Error,Error
773,2.360237974,Error,Error
774,2.360237974,Error,Error
775,2.36087341,Error,Error
776,2.360237974,Error,Error
777,2.359601606,Error,Error
778,2.358964306,Error,Error
779,2.358964306,Error,Error
780,2.358326068,Error,Error
781,2.358964306,Error,Error
